title,price,image_urls,discount,images
Micromax Canvas Sliver 5 (RAM 2 GB/ROM 16 GB),Rs.6099,https://cdn.shopclues.com/images/thumbnails/78550/200/200/12380330890837086MicromaxCanvasSilverQ450SDL17354823710791c15003011071500374752.jpg,68% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78550/200/200/12380330890837086MicromaxCanvasSilverQ450SDL17354823710791c15003011071500374752.jpg', 'path': 'full/2a41ee57cccf58f306ce670a79d2526d2ca43886.jpg', 'checksum': 'b616edeac9c270ef9dee715a9f938fe4'}]"
Lyf Water 8,Rs.10999,https://cdn.shopclues.com/images/thumbnails/78559/200/200/12381082298817784214n4d7vw0L15003013421500380424.jpg,43% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78559/200/200/12381082298817784214n4d7vw0L15003013421500380424.jpg', 'path': 'full/bd7000d050ea144c8c8c65b36150186bbf6d9b1b.jpg', 'checksum': 'c2bcf6cccd6b50534eeab6226123ad50'}]"
"iVoomi iV Smart (512 MB + 4GB, 4G VoLTE, 4 inch, 2 MP Camera, 1800 mAh Battery)",Rs.2899,https://cdn.shopclues.com/images/thumbnails/63824/200/200/1stImage1490692045.jpg,19% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/63824/200/200/1stImage1490692045.jpg', 'path': 'full/ec7854350afa014bb382bcad882f61b3afdfe337.jpg', 'checksum': 'd32ce6360d384c5057b9c66891da4957'}]"
"Swipe Konnect Star (1GB + 16GB, 4G VoLTE, 4 inch, 5MP Camera, 1800 mAh Battery)",Rs.3333,https://cdn.shopclues.com/images/thumbnails/78279/200/200/107858485Swipekonnectstar1500028884.jpg,26% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78279/200/200/107858485Swipekonnectstar1500028884.jpg', 'path': 'full/5cec3826ccaf133223049e116e56a85d35b1b769.jpg', 'checksum': '4d05731bb330880ae8b325894a18c8f7'}]"
"Samsung Galaxy C9 Pro (6 GB,64 GB,Gold)",Rs.31900,https://cdn.shopclues.com/images/thumbnails/71370/200/200/119185829frontgold1485335506148534485114863987251494996971.png,18% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/71370/200/200/119185829frontgold1485335506148534485114863987251494996971.png', 'path': 'full/4d4b85c0fc33c3498a4df6368bc3dc53d9a3c518.jpg', 'checksum': '28ccde2bdd6288adb9a387e14f62f332'}]"
"Ziox Quik Flash (1GB + 8GB, 4G VoLTE, 5 inch, 5MP Camera, 2450 mAh Battery)",Rs.3499,https://cdn.shopclues.com/images/thumbnails/78698/200/200/115371077black14836957191484756588148475674514909406981500462289.jpg,42% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78698/200/200/115371077black14836957191484756588148475674514909406981500462289.jpg', 'path': 'full/fab8866196757bd3b04681b78f539e1f7f05e29b.jpg', 'checksum': '83708fe338d421d1764589f76ddcd102'}]"
"Ziox Astra Dual Sim (4G VoLTE ,1GB RAM, 8GB )",Rs.4299,https://cdn.shopclues.com/images/thumbnails/51885/200/200/black148369571914847565881484756745.jpg,20% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/51885/200/200/black148369571914847565881484756745.jpg', 'path': 'full/830c00ddea08be52cfc8d5893b5202471b06e26a.jpg', 'checksum': '5588d86ff094305c1da81e19f5e87dbb'}]"
"Micromax Canvas Sliver 5 (2 GB,8 GB,Black)",Rs.9099,https://cdn.shopclues.com/images/thumbnails/78817/200/200/1240053468437361631UkY1SPZL15002972371500634955.jpg,9% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78817/200/200/1240053468437361631UkY1SPZL15002972371500634955.jpg', 'path': 'full/99f663e2efe51fab7ae14c29184f050f2c3ad83c.jpg', 'checksum': 'dcd5c64f782246c79bb488c94cd0e6e5'}]"
Moto E XT1506 2nd Gen 8GB - (6 Months Gadgetwood warranty),Rs.5199,https://cdn.shopclues.com/images/thumbnails/41481/200/200/81OZSV2LusL1469019919.jpg,69% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/41481/200/200/81OZSV2LusL1469019919.jpg', 'path': 'full/b56d1adebe0137bab5be7fb434bb4f1bdcc89e15.jpg', 'checksum': 'f2380a2b87f834fde6186ff0027af6a3'}]"
Xiaomi Mi4i 16GB /4G Phone- (6 Months Seller Warranty),Rs.7199,https://cdn.shopclues.com/images/thumbnails/84337/200/200/9596670551201553211PM635xiaomimi4i1505896088.jpg,28% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/84337/200/200/9596670551201553211PM635xiaomimi4i1505896088.jpg', 'path': 'full/72964ae5a9f2e7071456aa19246593a96bbbc78d.jpg', 'checksum': '2356a1b9a189ed6429f173a1a88985a1'}]"
"Letv Le 2 3GB,32 GB - (6 months Brand Warranty)",Rs.8899,https://cdn.shopclues.com/images/thumbnails/85010/200/200/97264960LeEcoLe2X52632GBGreySDL19958608070d7fd1506194599.jpg,26% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/85010/200/200/97264960LeEcoLe2X52632GBGreySDL19958608070d7fd1506194599.jpg', 'path': 'full/5e1403f51ed4b942f76f5764facb747fb3ded88e.jpg', 'checksum': 'a9623e8dc391e91441695b9faf6eabae'}]"
"Swipe Elite Note (3GB + 16GB, 4G VoLTE, 5.5 inch, 13MP Camera, 3000 mAh Battery)",Rs.6499,https://cdn.shopclues.com/images/thumbnails/58178/200/200/109963647EliteNoteFront1494229197.jpg,19% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/58178/200/200/109963647EliteNoteFront1494229197.jpg', 'path': 'full/6a438ae04a5aca84fdbe267516dd4eceb510dc18.jpg', 'checksum': '553d74b681ed8bc598b4648d17c417b9'}]"
Moto G plus 4th Gen 32GB - (6 Months seller Warranty),Rs.11599,https://cdn.shopclues.com/images/thumbnails/42834/200/200/96997230G4Plus1493192149.jpg,15% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/42834/200/200/96997230G4Plus1493192149.jpg', 'path': 'full/d36e848ff28d6bbd3de98cdabdf7ec357257ee87.jpg', 'checksum': 'cfb317a92bdf7a1231da2ae3a15cf896'}]"
Lenovo K3 Note 16GB  /Excellent Condition- (6 Months Seller Warranty),Rs.6749,https://cdn.shopclues.com/images/thumbnails/36526/200/200/918087791492103456.jpg,33% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/36526/200/200/918087791492103456.jpg', 'path': 'full/7878d46675ed384b163725f066f326fb59cdbd19.jpg', 'checksum': '69c5781ec410a7b710b7600ac4f9cc65'}]"
Xiaomi Redmi Note 3 16GB (2GB RAM) - (6 months Seller Warranty),Rs.10449,https://cdn.shopclues.com/images/thumbnails/43826/200/200/Xiaomi1488262506.jpg,16% Off,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/43826/200/200/Xiaomi1488262506.jpg', 'path': 'full/ec0f313c3e028126235a1289273c7c88243c215c.jpg', 'checksum': '1d7593b86c3042d574a9e96887c439a5'}]"
